cmtename,cmteid,other_id,name,similarity,party,state,chamber,type,last,cycle
RYAN FOR CONGRESS,C00330894,C00330811,Lee Terry,0.383416122,R,Neb.,House,,Terry,2014
RYAN FOR CONGRESS,C00330894,C00401190,G. K. Butterfield,0.380953394,D,N.C.,House,,Butterfield,2014
RYAN FOR CONGRESS,C00330894,C00521948,Rodney Davis,0.38059997,R,Ill.,House,,"Davis, R",2014
RYAN FOR CONGRESS,C00330894,C00443689,Ben Ray Lujan,0.379835175,D,N.M.,House,,Lujan,2014
RYAN FOR CONGRESS,C00330894,C00444224,Leonard Lance,0.378491142,R,N.J.,House,,Lance,2014
RYAN FOR CONGRESS,C00330894,C00484683,Marlin Stutzman,0.378336921,R,Ind.,House,HFC,Stutzman,2014
RYAN FOR CONGRESS,C00330894,C00369801,David Scott,0.377215665,D,Ga.,House,,"Scott, D",2014
RYAN FOR CONGRESS,C00330894,C00156612,Sander Levin,0.374753866,D,Mich.,House,,Levin,2014
RYAN FOR CONGRESS,C00330894,C00257956,Bob Goodlatte,0.37412264,R,Va.,House,,Goodlatte,2014
RYAN FOR CONGRESS,C00330894,C00350520,Darrell Issa,0.373121718,R,Calif.,House,,Issa,2014
RYAN FOR CONGRESS,C00330894,C00197160,Lamar Smith,0.37261118,R,Texas,House,,"Smith, Lamar",2014
RYAN FOR CONGRESS,C00330894,C00471292,Mick Mulvaney,0.371147705,R,S.C.,House,HFC,Mulvaney,2014
RYAN FOR CONGRESS,C00330894,C00497933,Joaquin Castro,0.371139165,D,Texas,House,,Castro,2014
RYAN FOR CONGRESS,C00330894,C00472365,Kevin Yoder,0.368014745,R,Kansas,House,,Yoder,2014
RYAN FOR CONGRESS,C00330894,C00386847,Charlie Dent,0.367441638,R,Pa.,House,,Dent,2014
RYAN FOR CONGRESS,C00330894,C00458976,Terri Sewell,0.366242653,D,Ala.,House,,Sewell,2014
RYAN FOR CONGRESS,C00330894,C00446906,Kurt Schrader,0.357593716,D,Ore.,House,,Schrader,2014
RYAN FOR CONGRESS,C00330894,C00497321,Juan Vargas,0.357319081,D,Calif.,House,,Vargas,2014
RYAN FOR CONGRESS,C00330894,C00389197,Allyson Schwartz,0.355427865,D,Pa.,House,,Schwartz,2014
RYAN FOR CONGRESS,C00330894,C00476820,Bill Johnson,0.35482463,R,Ohio,House,,"Johnson, B",2014
RYAN FOR CONGRESS,C00330894,C00372201,Tim Murphy,0.350987845,R,Pa.,House,,"Murphy, T",2014
RYAN FOR CONGRESS,C00330894,C00491357,Steve Daines,0.350865117,R,Mont.,House,,Daines,2014
RYAN FOR CONGRESS,C00330894,C00386110,Scott Garrett,0.349714682,R,N.J.,House,HFC,Garrett,2014
RYAN FOR CONGRESS,C00330894,C00498873,Tony Cardenas,0.349385723,D,Calif.,House,,Cardenas,2014
RYAN FOR CONGRESS,C00330894,C00468579,Jackie Walorski,0.348375288,R,Ind.,House,,Walorski,2014
RYAN FOR CONGRESS,C00330894,C00392688,Michael McCaul,0.346943415,R,Texas,House,,McCaul,2014
RYAN FOR CONGRESS,C00330894,C00451336,Cedric Richmond,0.346875651,D,La.,House,,Richmond,2014
RYAN FOR CONGRESS,C00330894,C00468421,Joe Heck,0.346428249,D,Nev.,House,,"Heck, J",2014
RYAN FOR CONGRESS,C00330894,C00468256,Larry Bucshon,0.345622196,R,Ind.,House,,Bucshon,2014
RYAN FOR CONGRESS,C00330894,C00359034,Sam Graves,0.344397625,R,Mo.,House,,"Graves, S",2014
RYAN FOR CONGRESS,C00330894,C00313510,Bill Pascrell,0.344136989,D,N.J.,House,,Pascrell,2014
RYAN FOR CONGRESS,C00330894,C00466854,Steve Fincher,0.343015315,R,Tenn.,House,,Fincher,2014
RYAN FOR CONGRESS,C00330894,C00475103,Mike Fitzpatrick,0.342790462,R,Pa.,House,,Fitzpatrick,2014
RYAN FOR CONGRESS,C00330894,C00202416,John Lewis,0.339594641,D,Ga.,House,,Lewis,2014
RYAN FOR CONGRESS,C00330894,C00492454,Cory Gardner,0.338817204,R,Colo.,House,,Gardner,2014
RYAN FOR CONGRESS,C00330894,C00472159,Denny Heck,0.338779672,D,Wash.,House,,"Heck, D",2014
RYAN FOR CONGRESS,C00330894,C00409219,Doris Matsui,0.338202105,D,Calif.,House,,Matsui,2014
RYAN FOR CONGRESS,C00330894,C00444968,Bill Posey,0.337617763,R,Fla.,House,HFC,Posey,2014
RYAN FOR CONGRESS,C00330894,C00507368,Joyce Beatty,0.337282883,D,Ohio,House,,Beatty,2014
RYAN FOR CONGRESS,C00330894,C00376087,Mario Diaz-Balart,0.336634598,R,Fla.,House,,Diaz-Balart,2014
RYAN FOR CONGRESS,C00330894,C00493825,Patrick Murphy,0.333852375,D,Fla.,House,,"Murphy, P",2014
RYAN FOR CONGRESS,C00330894,C00195065,Joe Barton,0.33365575,R,Texas,House,,Barton,2014
RYAN FOR CONGRESS,C00330894,C00387126,Lynn Westmoreland,0.333461879,R,Ga.,House,,Westmoreland,2014
RYAN FOR CONGRESS,C00330894,C00417550,Dan Maffei,0.331634167,D,N.Y.,House,,Maffei,2014
RYAN FOR CONGRESS,C00330894,C00371302,Henry Cuellar,0.330976058,D,Texas,House,,Cuellar,2014
RYAN FOR CONGRESS,C00330894,C00462556,Tom Graves,0.329232496,R,Ga.,House,,"Graves, T",2014
RYAN FOR CONGRESS,C00330894,C00476192,Todd Rokita,0.327727621,R,Ind.,House,,Rokita,2014
RYAN FOR CONGRESS,C00330894,C00506048,Tom Rice,0.327704295,R,S.C.,House,,Rice,2014
RYAN FOR CONGRESS,C00330894,C00366096,Chris Van Hollen,0.327394664,D,Md.,House,leader,Van Hollen,2014
RYAN FOR CONGRESS,C00330894,C00397505,Gwen Moore,0.32695325,D,Wis.,House,,Moore,2014
RYAN FOR CONGRESS,C00330894,C00260547,Spencer Bachus,0.3247833,R,Ala.,House,,Bachus,2014
RYAN FOR CONGRESS,C00330894,C00460667,Luke Messer,0.323868561,R,Ind.,House,,Messer,2014
RYAN FOR CONGRESS,C00330894,C00508416,John Delaney,0.323119786,D,Md.,House,,Delaney,2014
RYAN FOR CONGRESS,C00330894,C00463620,Reid Ribble,0.321466808,R,Wis.,House,,Ribble,2014
RYAN FOR CONGRESS,C00330894,C00410233,Joe Courtney,0.321360784,D,Conn.,House,,Courtney,2014
RYAN FOR CONGRESS,C00330894,C00416594,Jim Jordan,0.320944129,R,Ohio,House,HFC,Jordan,2014
RYAN FOR CONGRESS,C00330894,C00279851,Bennie Thompson,0.320610515,D,Miss.,House,,"Thompson, B",2014
RYAN FOR CONGRESS,C00330894,C00470807,Michael Grimm,0.320510891,R,N.Y.,House,,Grimm,2014
RYAN FOR CONGRESS,C00330894,C00527457,Dave Joyce,0.320271235,R,Ohio,House,,Joyce,2014
RYAN FOR CONGRESS,C00330894,C00463836,Stevan Pearce,0.319962467,R,N.M.,House,HFC,Pearce,2014
RYAN FOR CONGRESS,C00330894,C00306829,Mike McIntyre,0.319236613,D,N.C.,House,,McIntyre,2014
RYAN FOR CONGRESS,C00330894,C00472241,Bill Flores,0.319217678,R,Texas,House,,Flores,2014
RYAN FOR CONGRESS,C00330894,C00258475,Anna Eshoo,0.319106007,D,Calif.,House,,Eshoo,2014
RYAN FOR CONGRESS,C00330894,C00431684,Jason Chaffetz,0.319041964,R,Utah,House,,Chaffetz,2014
RYAN FOR CONGRESS,C00330894,C00437913,Pete Olson,0.318334732,R,Texas,House,,Olson,2014
RYAN FOR CONGRESS,C00330894,C00376665,Jim Cooper,0.315311692,D,Tenn.,House,,Cooper,2014
RYAN FOR CONGRESS,C00330894,C00499236,George Holding,0.315036982,R,N.C.,House,,Holding,2014
RYAN FOR CONGRESS,C00330894,C00476325,Dan Benishek,0.314783836,R,Mich.,House,,Benishek,2014
RYAN FOR CONGRESS,C00330894,C00368522,Joe Wilson,0.314770389,R,S.C.,House,,"Wilson, J",2014
RYAN FOR CONGRESS,C00330894,C00476523,Karen Bass,0.312825766,D,Calif.,House,,Bass,2014
RYAN FOR CONGRESS,C00330894,C00435974,Andy Harris,0.312208376,R,Md.,House,HFC,Harris,2014
RYAN FOR CONGRESS,C00330894,C00477745,Steve Womack,0.311380845,R,Ark.,House,,Womack,2014
RYAN FOR CONGRESS,C00330894,C00311639,Diana DeGette,0.311047735,D,Colo.,House,,DeGette,2014
RYAN FOR CONGRESS,C00330894,C00213512,Nancy Pelosi,0.309682511,D,Calif.,House,leader,Pelosi,2014
RYAN FOR CONGRESS,C00330894,C00254185,Gene Green,0.308898505,D,Texas,House,,"Green, G",2014
RYAN FOR CONGRESS,C00330894,C00364935,Bill Shuster,0.308297259,R,Pa.,House,,Shuster,2014
RYAN FOR CONGRESS,C00330894,C00336388,Mike Capuano,0.306547683,D,Mass.,House,,Capuano,2014
RYAN FOR CONGRESS,C00330894,C00331397,Mike Simpson,0.304405551,R,Idaho,House,,Simpson,2014
RYAN FOR CONGRESS,C00330894,C00477240,Morgan Griffith,0.302662172,R,Va.,House,HFC,Griffith,2014
RYAN FOR CONGRESS,C00330894,C00502294,Eric Swalwell,0.300937615,D,Calif.,House,,Swalwell,2014
RYAN FOR CONGRESS,C00330894,C00502039,Doug Collins,0.300648364,R,Ga.,House,,"Collins, D",2014
RYAN FOR CONGRESS,C00330894,C00002600,John Dingell,0.30058507,D,Mich.,House,,Dingell,2014
RYAN FOR CONGRESS,C00330894,C00386748,Virginia Foxx,0.30053451,R,N.C.,House,,Foxx,2014
RYAN FOR CONGRESS,C00330894,C00301838,Steve Chabot,0.300274093,R,Ohio,House,,Chabot,2014
